work_id,team_hss_dna_pct,_hss_main,year,arxiv_primary_category,log_team_size,log_prior_knowledge,has_any_openalex_metrics,usable_for_composition_analysis,log1p_openalex_matched_reference_count,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs
W2557969682,0.0,0.0,2016,cs.CV,1.3862943611198906,3.5263605246161616,1,1,2.70805020110221,1.0,0.0,0.0,1.0
W2556013083,12.3,12.3,2016,stat.ML,1.3862943611198906,4.68213122712422,1,0,0.0,,,,
W2527819024,0.0,0.0,2016,cs.LG,1.0986122886681098,4.127134385045092,1,1,3.332204510175204,5.0,0.703131580965568,0.043478260869565,0.826086956521739
W2559944883,0.0,0.0,2016,cs.NE,1.3862943611198906,2.772588722239781,1,1,2.995732273553991,1.0,0.0,0.0,1.0
W2949212125,0.0,0.0,2016,cs.CV,1.791759469228055,4.007333185232471,1,1,3.784189633918261,3.0,0.326442040956665,0.0,0.9210526315789472
W2952010110,0.0,0.0,2016,cs.CV,1.791759469228055,4.61512051684126,1,1,4.174387269895637,2.0,0.15841057013179,0.0,0.962962962962962
W2519430864,0.0,0.0,2016,stat.ML,0.6931471805599453,1.0986122886681098,1,1,3.871201010907891,5.0,0.675858541247912,0.0,0.833333333333333
W2567691283,0.0,0.0,2016,stat.ML,1.0986122886681098,3.49650756146648,1,0,0.0,,,,
W2399306074,0.0,0.0,2016,stat.ML,1.791759469228055,4.382026634673881,1,1,3.258096538021482,2.0,0.198515243345872,0.0,0.95
W4293577678,13.22,13.22,2016,cs.CV,1.3862943611198906,3.912023005428146,1,0,0.0,,,,
W2952038462,0.0,0.0,2016,cs.CV,1.791759469228055,5.739792912179234,1,1,2.833213344056216,2.0,0.6909233093138181,0.0,0.533333333333333
W2298457129,2.35,2.35,2016,stat.ML,1.791759469228055,4.189654742026425,1,1,3.367295829986474,4.0,0.5305096302300271,0.043478260869565,0.8695652173913041
W2529989861,10.91,10.91,2016,stat.ML,1.791759469228055,4.948759890378168,1,1,3.332204510175204,3.0,0.7902679680745901,0.0,0.6923076923076921
W2557046619,0.0,0.0,2016,stat.ML,1.0986122886681098,3.610917912644224,1,1,3.5263605246161616,3.0,0.6161286696018661,0.035714285714285,0.785714285714285
W2561036008,0.0,0.0,2016,cs.LG,1.6094379124341005,4.174387269895637,1,1,2.4849066497880004,2.0,0.410116318288409,0.0,0.8571428571428571
W2560169576,0.0,0.0,2016,cs.CV,1.3862943611198906,4.564348191467836,1,1,2.70805020110221,3.0,0.566085738959628,0.0,0.833333333333333
W2735970878,1.84,1.84,2016,cs.CV,1.9459101490553128,5.099866427824199,1,0,0.0,,,,
W2742479045,0.0,0.0,2016,cs.LG,1.3862943611198906,2.5649493574615367,1,1,3.828641396489095,2.0,0.121692402678061,0.0,0.973684210526315
W2564929713,57.52,57.52,2016,cs.LG,0.6931471805599453,1.3862943611198906,1,1,3.091042453358316,1.0,0.0,0.0,1.0
W2476099471,0.0,0.0,2016,cs.AI,1.0986122886681098,4.406719247264253,1,1,2.70805020110221,1.0,0.0,0.0,1.0
W1666690886,0.0,0.0,2015,cs.LG,0.6931471805599453,4.04305126783455,1,1,3.6635616461296463,1.0,0.0,0.0,1.0
W2963684088,0.0,0.0,2015,cs.LG,1.3862943611198906,3.784189633918261,1,0,0.0,,,,
W2557088662,0.0,0.0,2016,cs.LG,1.6094379124341005,5.0369526024136295,1,1,2.70805020110221,1.0,0.0,0.0,1.0
W4301968192,0.0,0.0,2016,cs.CV,1.0986122886681098,3.737669618283368,1,0,0.0,,,,
W2412320034,0.0,0.0,2016,cs.LG,1.3862943611198906,5.19295685089021,1,1,3.4657359027997265,2.0,0.149994923610415,0.0,0.96551724137931
W2549108983,0.0,0.0,2016,cs.LG,1.0986122886681098,4.406719247264253,1,1,2.995732273553991,1.0,0.0,0.0,1.0
W2951722763,0.0,0.0,2016,cs.CV,1.6094379124341005,5.389071729816501,1,1,3.49650756146648,3.0,0.29875805818934,0.0,0.93103448275862
W2952139859,0.0,0.0,2016,cs.CV,1.0986122886681098,3.737669618283368,1,1,3.1354942159291497,3.0,0.380506218477595,0.047619047619047,0.904761904761904
W2951745349,0.0,0.0,2016,cs.CV,1.0986122886681098,3.1780538303479458,1,1,3.367295829986474,3.0,0.443306691468087,0.0,0.88
W4298201114,9.92,9.92,2015,cs.CV,1.6094379124341005,4.543294782270004,1,0,0.0,,,,
W2215576850,0.0,0.0,2015,cs.CV,1.791759469228055,5.60947179518496,1,1,3.555348061489413,5.0,1.001244663346049,0.06060606060606,0.696969696969697
W2554713816,2.26,2.26,2016,stat.ML,2.19722457733622,5.337538079701318,1,1,2.4849066497880004,1.0,0.0,0.0,1.0
W2338185250,0.0,0.0,2016,stat.ML,1.0986122886681098,2.3978952727983707,1,1,2.833213344056216,3.0,0.7774621319109281,0.0625,0.6875
W2952171659,9.06,9.06,2016,cs.CV,1.791759469228055,4.990432586778736,1,1,3.80666248977032,1.0,0.0,0.0,1.0
W2202109488,0.0,0.0,2015,cs.LG,1.6094379124341005,4.31748811353631,1,1,3.091042453358316,2.0,0.191444081957717,0.0,0.952380952380952
W2559110679,0.0,0.0,2016,cs.AI,0.6931471805599453,2.19722457733622,1,1,2.302585092994046,1.0,0.0,0.0,1.0
W2415784353,0.0,0.0,2016,cs.LG,1.791759469228055,5.19295685089021,1,1,3.044522437723423,3.0,1.039720770839917,0.0,0.25
W4294620478,22.22,22.22,2016,cs.CV,1.3862943611198906,3.5263605246161616,1,0,0.0,,,,
W2563131459,0.0,0.0,2016,cs.AI,1.3862943611198906,1.3862943611198906,1,1,3.218875824868201,5.0,1.201470654472912,0.0,0.416666666666666
W2558737541,0.0,0.0,2016,cs.CL,1.6094379124341005,4.262679877041316,1,0,0.0,,,,
W1531388653,0.0,0.0,2015,cs.LG,1.3862943611198906,4.736198448394496,1,1,3.9318256327243257,5.0,0.680385242455356,0.02127659574468,0.8085106382978721
W2950447478,0.0,0.0,2016,cs.LG,1.3862943611198906,4.48863636973214,1,1,1.9459101490553128,2.0,0.450561208866304,0.0,0.833333333333333
W2174037025,13.64,13.64,2015,cs.NE,0.6931471805599453,0.6931471805599453,1,1,2.6390573296152584,1.0,0.0,0.0,1.0
W1487641199,0.0,0.0,2015,cs.LG,1.3862943611198906,3.8501476017100575,1,1,3.8918202981106265,5.0,0.630875705398611,0.044444444444444,0.8444444444444441
W1574502566,0.0,0.0,2015,stat.ML,1.0986122886681098,3.610917912644224,1,1,2.995732273553991,3.0,0.443757284260148,0.0,0.8823529411764701
W2308640704,0.0,0.0,2016,cs.LG,1.3862943611198906,4.418840607796598,1,1,3.1354942159291497,5.0,0.953256252840685,0.0,0.7142857142857141
W2951789542,0.0,0.0,2016,cs.CV,1.3862943611198906,5.3471075307174685,1,1,3.713572066704308,3.0,0.253067331874179,0.0,0.944444444444444
W2419501139,0.0,0.0,2016,stat.ML,1.3862943611198906,3.713572066704308,1,1,3.4011973816621555,5.0,0.766838231580212,0.0,0.8
W2432004435,10.15,10.15,2016,cs.LG,1.9459101490553128,4.727387818712341,1,0,0.0,,,,
W2952390294,0.0,0.0,2016,cs.CV,1.6094379124341005,3.9889840465642745,1,1,3.332204510175204,3.0,0.32450838693107,0.0,0.923076923076923
W3038022805,0.0,0.0,2015,cs.LG,1.791759469228055,4.653960350157523,1,1,2.6390573296152584,1.0,0.0,0.0,1.0
W2747490792,12.09,12.09,2016,cs.LG,1.791759469228055,3.688879454113936,1,1,2.995732273553991,2.0,0.257318640543831,0.0,0.928571428571428
W1565066160,0.0,0.0,2014,astro-ph.IM,0.6931471805599453,1.0986122886681098,1,1,3.828641396489095,7.0,1.650678195587298,0.045454545454545,0.227272727272727
W2949099979,0.0,0.0,2016,cs.CV,1.3862943611198906,5.099866427824199,1,1,3.555348061489413,4.0,0.518700438574282,0.0,0.8709677419354831
W2129069237,0.0,0.0,2015,cs.LG,1.6094379124341005,3.49650756146648,1,1,3.828641396489095,8.0,1.1740231747697711,0.048780487804878,0.6829268292682921
W834081922,0.0,0.0,2015,cs.LG,1.6094379124341005,3.970291913552122,1,1,3.58351893845611,6.0,0.9160825054413512,0.03030303030303,0.757575757575757
W2483814582,0.0,0.0,2016,cs.LG,1.0986122886681098,1.3862943611198906,1,1,2.772588722239781,4.0,0.89533266596809,0.0,0.7142857142857141
W2552611751,2.81,2.81,2016,cs.CV,1.6094379124341005,4.499809670330265,1,1,2.5649493574615367,1.0,0.0,0.0,1.0
W2431962807,6.82,6.82,2016,cs.LG,1.9459101490553128,5.247024072160486,1,1,3.5263605246161616,4.0,0.44624376141549,0.034482758620689,0.896551724137931
W2557665295,4.76,4.76,2016,cs.AI,1.3862943611198906,3.1354942159291497,1,1,2.19722457733622,1.0,0.0,0.0,1.0
W2951996801,0.0,0.0,2016,cs.CV,1.3862943611198906,5.068904202220232,1,1,3.9889840465642745,1.0,0.0,0.0,1.0
W2530372461,5.56,5.56,2016,cs.CV,1.9459101490553128,5.62040086571715,1,1,3.218875824868201,2.0,0.184907399167775,0.0,0.954545454545454
W592244745,0.0,0.0,2015,cs.LG,1.9459101490553128,5.652489180268651,1,1,2.9444389791664403,2.0,0.223718076065833,0.0,0.9411764705882352
W2949343725,0.0,0.0,2016,cs.CV,1.3862943611198906,3.784189633918261,1,0,0.6931471805599453,,,,
