author_id,active_phases,phases_count,total_papers_12y,avg_team_size_P1,avg_team_size_P2,avg_team_size_P3
https://openalex.org/A5069337573,Phase1 | Phase2 | Phase3,3,119,7.384615384615385,12.375,10.5
https://openalex.org/A5066326238,Phase1 | Phase2 | Phase3,3,118,4.4,6.0,6.917808219178082
https://openalex.org/A5039076312,Phase1 | Phase2 | Phase3,3,117,1.0,5.2,7.495495495495495
https://openalex.org/A5062910836,Phase1 | Phase2 | Phase3,3,117,6.5,4.5,6.801980198019802
https://openalex.org/A5102865824,Phase1 | Phase2 | Phase3,3,117,4.0,5.395348837209302,6.069444444444445
https://openalex.org/A5088760097,Phase1 | Phase2 | Phase3,3,116,3.0,4.805555555555555,6.265822784810126
https://openalex.org/A5100460385,Phase1 | Phase2 | Phase3,3,115,4.0,5.0,5.89247311827957
https://openalex.org/A5046305086,Phase1 | Phase2 | Phase3,3,115,3.0,5.448275862068965,5.576470588235294
https://openalex.org/A5085020955,Phase1 | Phase2 | Phase3,3,113,3.0,5.666666666666667,6.765432098765432
https://openalex.org/A5008666077,Phase1 | Phase2 | Phase3,3,113,6.333333333333333,5.842105263157895,8.373626373626374
https://openalex.org/A5091175785,Phase1 | Phase2 | Phase3,3,113,4.363636363636363,4.038461538461538,7.256410256410256
https://openalex.org/A5112501010,Phase1 | Phase2 | Phase3,3,112,4.75,4.291139240506329,4.9655172413793105
https://openalex.org/A5015709853,Phase1 | Phase2 | Phase3,3,112,3.0,4.434782608695652,5.2272727272727275
https://openalex.org/A5024777042,Phase1 | Phase2 | Phase3,3,111,4.8,5.863636363636363,6.928571428571429
https://openalex.org/A5044791875,Phase1 | Phase2 | Phase3,3,111,5.0,11.653846153846153,10.226190476190476
https://openalex.org/A5006461848,Phase1 | Phase2 | Phase3,3,110,18.0,7.8,8.964285714285714
https://openalex.org/A5100319572,Phase1 | Phase2 | Phase3,3,110,3.857142857142857,5.311111111111111,6.862068965517241
https://openalex.org/A5103103242,Phase1 | Phase2 | Phase3,3,110,4.0,5.611111111111111,9.362637362637363
https://openalex.org/A5046006076,Phase1 | Phase2 | Phase3,3,109,2.4444444444444446,10.291666666666666,7.421052631578948
https://openalex.org/A5015785439,Phase1 | Phase2 | Phase3,3,109,2.6,4.560975609756097,5.73015873015873
https://openalex.org/A5074764224,Phase1 | Phase2 | Phase3,3,109,17.833333333333332,17.617021276595743,9.12
https://openalex.org/A5059767940,Phase1 | Phase2 | Phase3,3,108,4.0,4.780487804878049,5.2615384615384615
https://openalex.org/A5056503617,Phase1 | Phase2 | Phase3,3,108,4.0,5.392857142857143,11.30379746835443
https://openalex.org/A5072378199,Phase1 | Phase2 | Phase3,3,108,16.291666666666668,16.36144578313253,10.0
https://openalex.org/A5100408983,Phase1 | Phase2 | Phase3,3,107,4.5,4.863636363636363,5.63855421686747
https://openalex.org/A5100373745,Phase1 | Phase2 | Phase3,3,107,13.0,8.636363636363637,7.295774647887324
https://openalex.org/A5026322200,Phase1 | Phase2 | Phase3,3,106,4.0,3.8823529411764706,9.238636363636363
https://openalex.org/A5022636178,Phase1 | Phase2 | Phase3,3,106,5.0,5.0,5.291139240506329
https://openalex.org/A5046228314,Phase1 | Phase2 | Phase3,3,106,5.666666666666667,7.3125,9.352112676056338
https://openalex.org/A5101619735,Phase1 | Phase2 | Phase3,3,105,6.0,5.318181818181818,7.329268292682927
https://openalex.org/A5062546146,Phase1 | Phase2 | Phase3,3,105,3.0,4.566037735849057,9.13953488372093
https://openalex.org/A5019708391,Phase1 | Phase2 | Phase3,3,105,6.0,5.695652173913044,7.864197530864198
https://openalex.org/A5100716372,Phase1 | Phase2 | Phase3,3,105,6.0,6.896551724137931,7.418918918918919
https://openalex.org/A5101635405,Phase1 | Phase2 | Phase3,3,105,8.0,7.866666666666666,8.76271186440678
https://openalex.org/A5039363991,Phase1 | Phase2 | Phase3,3,104,4.0,6.44,7.1558441558441555
