work_id,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,reference_field_counts_json,processed_at_utc
W2530372461,24,22,2,2,0.18490739916777502,0.0,0.954545454545454,"{""Computer Science"": 21, ""Environmental Science"": 1}",2026-06-09T20:07:35.700643
W592244745,18,17,1,2,0.22371807606583302,0.0,0.9411764705882351,"{""Computer Science"": 16, ""Neuroscience"": 1}",2026-06-09T20:07:35.701645
W2949343725,1,1,0,1,0.0,0.0,1.0,"{""Computer Science"": 1}",2026-06-09T20:07:35.701645
W2552465432,31,28,3,4,0.9724514629072171,0.0,0.642857142857142,"{""Chemistry"": 1, ""Computer Science"": 18, ""Engineering"": 3, ""Neuroscience"": 6}",2026-06-09T20:07:35.701645
W2511691466,13,12,1,2,0.28683598305616004,0.0,0.9166666666666661,"{""Computer Science"": 11, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.701645
W2963250052,0,0,0,0,,,,{},2026-06-09T20:07:35.701645
W2559991484,29,26,3,1,0.0,0.0,1.0,"{""Computer Science"": 26}",2026-06-09T20:07:35.701645
W2565378226,11,10,1,1,0.0,0.0,1.0,"{""Computer Science"": 10}",2026-06-09T20:07:35.701645
W2537458122,0,0,0,0,,,,{},2026-06-09T20:07:35.701645
W2952054472,29,27,2,2,0.264052051825628,0.0,0.925925925925925,"{""Computer Science"": 25, ""Engineering"": 2}",2026-06-09T20:07:35.701645
W4302343661,0,0,0,0,,,,{},2026-06-09T20:07:35.701645
W2464234964,18,17,1,1,0.0,0.0,1.0,"{""Computer Science"": 17}",2026-06-09T20:07:35.701645
W2560512785,0,0,0,0,,,,{},2026-06-09T20:07:35.701645
W1779483307,0,0,0,0,,,,{},2026-06-09T20:07:35.701645
W2259643685,0,0,0,0,,,,{},2026-06-09T20:07:51.793950
W2561050497,0,0,0,0,,,,{},2026-06-09T20:07:51.793950
W2951021768,42,40,2,3,0.23317260237386903,0.0,0.9500000000000001,"{""Computer Science"": 38, ""Mathematics"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:51.793950
W2562221994,0,0,0,0,,,,{},2026-06-09T20:07:51.793950
W2530741948,47,43,4,7,1.099268910064456,0.069767441860465,0.651162790697674,"{""Computer Science"": 28, ""Decision Sciences"": 2, ""Earth and Planetary Sciences"": 1, ""Economics, Econometrics and Finance"": 1, ""Mathematics"": 9, ""Neuroscience"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.795428
W2412589713,22,16,6,1,0.0,0.0,1.0,"{""Computer Science"": 16}",2026-06-09T20:07:51.795428
W2963501406,0,0,0,0,,,,{},2026-06-09T20:07:51.795428
W2439880944,28,26,2,6,1.096103599132013,0.038461538461538006,0.6538461538461531,"{""Computer Science"": 17, ""Engineering"": 1, ""Mathematics"": 1, ""Medicine"": 1, ""Neuroscience"": 5, ""Psychology"": 1}",2026-06-09T20:07:51.795428
W2950338739,0,0,0,0,,,,{},2026-06-09T20:07:51.795428
W2176035349,27,23,4,5,1.025915840311924,0.0,0.695652173913043,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 16, ""Engineering"": 2, ""Mathematics"": 2, ""Physics and Astronomy"": 2}",2026-06-09T20:07:51.795428
W2416272112,14,13,1,3,0.535961049709069,0.07692307692307601,0.846153846153846,"{""Computer Science"": 11, ""Neuroscience"": 1, ""Social Sciences"": 1}",2026-06-09T20:07:51.795428
W2269752429,14,11,3,1,0.0,0.0,1.0,"{""Computer Science"": 11}",2026-06-09T20:07:51.795428
W2559626456,19,15,4,3,0.48509409130221104,0.0,0.866666666666666,"{""Computer Science"": 13, ""Engineering"": 1, ""Mathematics"": 1}",2026-06-09T20:07:51.795428
W2469266052,32,29,3,4,0.7919327952430181,0.0,0.7241379310344821,"{""Computer Science"": 21, ""Earth and Planetary Sciences"": 1, ""Engineering"": 6, ""Neuroscience"": 1}",2026-06-09T20:07:51.795428
W2558647090,19,15,4,2,0.24493002679463502,0.0,0.9333333333333331,"{""Computer Science"": 14, ""Mathematics"": 1}",2026-06-09T20:07:51.795428
W2554506842,0,0,0,0,,,,{},2026-06-09T20:07:51.795428
W2951733136,31,31,0,4,0.749962567906109,0.0,0.7741935483870961,"{""Computer Science"": 24, ""Earth and Planetary Sciences"": 2, ""Engineering"": 4, ""Neuroscience"": 1}",2026-06-09T20:07:51.795428
W2302243225,7,7,0,2,0.598269588585257,0.0,0.7142857142857141,"{""Computer Science"": 5, ""Neuroscience"": 2}",2026-06-09T20:07:51.795428
W2950025457,29,28,1,3,0.798204295579866,0.0,0.678571428571428,"{""Computer Science"": 19, ""Earth and Planetary Sciences"": 2, ""Engineering"": 7}",2026-06-09T20:07:51.795428
W2572816092,0,0,0,0,,,,{},2026-06-09T20:07:51.795428
W2196707239,34,31,3,4,0.5950727898218281,0.0,0.8387096774193541,"{""Computer Science"": 26, ""Engineering"": 3, ""Mathematics"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.795428
W2795910581,215,199,16,7,0.8183947650970961,0.0,0.7035175879396981,"{""Computer Science"": 140, ""Engineering"": 49, ""Environmental Science"": 3, ""Medicine"": 1, ""Neuroscience"": 3, ""Physics and Astronomy"": 2, ""Veterinary"": 1}",2026-06-09T20:07:51.796426
W2564755245,18,17,1,2,0.22371807606583302,0.0,0.9411764705882351,"{""Computer Science"": 16, ""Neuroscience"": 1}",2026-06-09T20:07:51.796426
W2950671334,25,23,2,1,0.0,0.0,1.0,"{""Computer Science"": 23}",2026-06-09T20:07:51.796426
W2558578635,27,24,3,1,0.0,0.0,1.0,"{""Computer Science"": 24}",2026-06-09T20:07:51.796426
W284754667,2,2,0,1,0.0,0.0,1.0,"{""Computer Science"": 2}",2026-06-09T20:07:51.796426
W2584667682,16,15,1,1,0.0,0.0,1.0,"{""Computer Science"": 15}",2026-06-09T20:07:51.796426
W2599043313,0,0,0,0,,,,{},2026-06-09T20:07:51.796426
W1544557312,0,0,0,0,,,,{},2026-06-09T20:07:51.796426
W2558687333,26,21,5,3,0.501046913759096,0.0,0.8571428571428571,"{""Chemistry"": 1, ""Computer Science"": 18, ""Neuroscience"": 2}",2026-06-09T20:07:51.796426
W2294780673,30,26,4,3,0.32450838693107004,0.0,0.923076923076923,"{""Computer Science"": 24, ""Engineering"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:51.796426
W2951538594,53,49,4,3,0.198821578103019,0.020408163265306003,0.959183673469387,"{""Agricultural and Biological Sciences"": 1, ""Arts and Humanities"": 1, ""Computer Science"": 47}",2026-06-09T20:07:51.796426
W2951652470,27,21,6,1,0.0,0.0,1.0,"{""Computer Science"": 21}",2026-06-09T20:07:51.796426
W2428952132,28,26,2,4,0.48439011623800304,0.0,0.884615384615384,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 23, ""Engineering"": 1, ""Mathematics"": 1}",2026-06-09T20:07:51.796426
W1852909287,40,38,2,6,1.04564609877208,0.026315789473684,0.6578947368421051,"{""Arts and Humanities"": 1, ""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 25, ""Engineering"": 1, ""Mathematics"": 8, ""Neuroscience"": 2}",2026-06-09T20:07:51.796426
W2560678327,17,13,4,2,0.27118937304184404,0.0,0.923076923076923,"{""Computer Science"": 12, ""Veterinary"": 1}",2026-06-09T20:07:51.796426
W4300111288,0,0,0,0,,,,{},2026-06-09T20:07:51.796426
W2287889828,58,54,4,2,0.092216057337191,0.0,0.9814814814814811,"{""Computer Science"": 53, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.796426
W2275365310,46,36,10,4,0.37838700711183604,0.0,0.9166666666666661,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 33, ""Health Professions"": 1, ""Mathematics"": 1}",2026-06-09T20:07:51.796426
W2534135591,41,35,6,3,0.5062608421468741,0.0,0.8571428571428571,"{""Biochemistry, Genetics and Molecular Biology"": 2, ""Computer Science"": 30, ""Mathematics"": 3}",2026-06-09T20:07:51.796426
W4294575421,0,0,0,0,,,,{},2026-06-09T20:07:51.796426
W1956526898,29,27,2,2,0.15841057013179002,0.0,0.962962962962962,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 26}",2026-06-09T20:07:51.796426
W2559978439,26,22,4,2,0.18490739916777502,0.045454545454545005,0.954545454545454,"{""Computer Science"": 21, ""Decision Sciences"": 1}",2026-06-09T20:07:51.796426
W2537265010,20,17,3,4,0.790234755343282,0.058823529411764004,0.764705882352941,"{""Computer Science"": 13, ""Economics, Econometrics and Finance"": 1, ""Mathematics"": 2, ""Neuroscience"": 1}",2026-06-09T20:07:51.797557
W2562887561,28,27,1,3,0.41955589232023305,0.0,0.8888888888888881,"{""Computer Science"": 24, ""Engineering"": 1, ""Mathematics"": 2}",2026-06-09T20:07:51.797557
W2100820448,35,33,2,5,0.933142164646175,0.0,0.7272727272727271,"{""Computer Science"": 24, ""Engineering"": 1, ""Mathematics"": 2, ""Neuroscience"": 4, ""Physics and Astronomy"": 2}",2026-06-09T20:07:51.797557
W2343436474,31,27,4,1,0.0,0.0,1.0,"{""Computer Science"": 27}",2026-06-09T20:07:51.797557
W2950428484,28,27,1,2,0.34883209584303104,0.11111111111111101,0.8888888888888881,"{""Computer Science"": 24, ""Psychology"": 3}",2026-06-09T20:07:51.797557
W2241785942,32,31,1,1,0.0,0.0,1.0,"{""Computer Science"": 31}",2026-06-09T20:07:51.797557
W2584471052,14,10,4,2,0.32508297339144804,0.0,0.9,"{""Computer Science"": 9, ""Engineering"": 1}",2026-06-09T20:07:51.797557
W2147591838,31,31,0,2,0.14250586739273702,0.0,0.9677419354838711,"{""Computer Science"": 30, ""Engineering"": 1}",2026-06-09T20:07:51.797557
W2174412056,28,25,3,4,0.711386457135416,0.08,0.8,"{""Computer Science"": 20, ""Decision Sciences"": 2, ""Mathematics"": 2, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.797557
W2555417674,12,10,2,1,0.0,0.0,1.0,"{""Computer Science"": 10}",2026-06-09T20:07:51.797557
W2950011704,15,14,1,4,0.754996758130824,0.0,0.785714285714285,"{""Computer Science"": 11, ""Engineering"": 1, ""Neuroscience"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.797557
W2952250911,20,20,0,3,0.394397691447442,0.0,0.9,"{""Computer Science"": 18, ""Engineering"": 1, ""Mathematics"": 1}",2026-06-09T20:07:51.797557
W2564726951,19,17,2,2,0.22371807606583302,0.0,0.9411764705882351,"{""Computer Science"": 16, ""Neuroscience"": 1}",2026-06-09T20:07:51.797557
W2532488433,0,0,0,0,,,,{},2026-06-09T20:07:51.797557
W2511279186,45,41,4,6,0.567067632937967,0.024390243902439,0.8780487804878041,"{""Computer Science"": 36, ""Earth and Planetary Sciences"": 1, ""Engineering"": 1, ""Mathematics"": 1, ""Physics and Astronomy"": 1, ""Social Sciences"": 1}",2026-06-09T20:07:51.797557
W2951597448,33,29,4,5,0.5924028775138871,0.068965517241379,0.8620689655172411,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Business, Management and Accounting"": 1, ""Computer Science"": 25, ""Neuroscience"": 1, ""Social Sciences"": 1}",2026-06-09T20:07:51.797557
W3040426824,104,100,4,8,0.5495995610440451,0.05,0.89,"{""Computer Science"": 89, ""Decision Sciences"": 3, ""Earth and Planetary Sciences"": 1, ""Engineering"": 1, ""Mathematics"": 2, ""Neuroscience"": 1, ""Physics and Astronomy"": 1, ""Social Sciences"": 2}",2026-06-09T20:07:51.797557
W4321153488,0,0,0,0,,,,{},2026-06-09T20:07:51.797557
W2465870074,33,32,1,1,0.0,0.0,1.0,"{""Computer Science"": 32}",2026-06-09T20:07:51.797557
W2149171634,29,27,2,4,0.47090012791726604,0.074074074074074,0.8888888888888881,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 24, ""Economics, Econometrics and Finance"": 1, ""Social Sciences"": 1}",2026-06-09T20:07:51.797557
W2398848749,22,21,1,4,1.006385669820259,0.047619047619047006,0.47619047619047605,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 10, ""Economics, Econometrics and Finance"": 1, ""Mathematics"": 9}",2026-06-09T20:07:51.797557
W2296030723,0,0,0,0,,,,{},2026-06-09T20:07:51.797557
W2421157170,22,20,2,4,0.708346577706171,0.0,0.8,"{""Computer Science"": 16, ""Mathematics"": 2, ""Neuroscience"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:51.798643
