author_id,year,avg_logRCR,yearly_paper_count,total_papers_raw,is_treated,event_year,relative_year,Post,DID_term,primary_origin_field,T0_year
A5049638480,2016,2.1118068261818674,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5015057235,2016,2.8743714165497236,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5040169071,2016,2.8743714165497236,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5067370075,2016,2.0322095032288363,4,4,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5023847482,2016,1.9459101490553132,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5102016617,2016,1.2769497606374758,2,2,0,9999,,0.0,0.0,Engineering,2016
A5074393185,2016,1.370749067584875,2,2,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5050928023,2016,0.91383271172325,3,3,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5101580523,2016,1.2729656758128876,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5031329242,2016,1.2729656758128876,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5052213409,2016,2.005333569526114,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5030914810,2016,2.2881963555419462,1,1,1,2017,-1.0,0.0,0.0,Agricultural and Biological Sciences,2016
A5054437456,2016,1.8372453583309185,2,2,1,2017,-1.0,0.0,0.0,Medicine,2016
A5027222571,2016,1.0498221244986776,1,1,0,9999,,0.0,0.0,Medicine,2016
A5041142359,2016,1.0986122886681098,1,1,1,2016,0.0,1.0,1.0,Computer Science,2014
A5077819827,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5114259459,2016,0.9057086225436181,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5076092831,2016,0.9057086225436181,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5019313200,2016,0.9057086225436181,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5006825363,2015,2.995732273553991,1,1,0,9999,,0.0,0.0,Medicine,2015
A5072069474,2015,2.8903717578961645,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5100626273,2014,3.8985999850960056,1,1,0,9999,,0.0,0.0,Medicine,2014
A5062935332,2015,0.8716532593453993,3,3,0,9999,,0.0,0.0,Computer Science,2015
A5065874626,2016,2.0794415416798357,1,1,0,9999,,0.0,0.0,Medicine,2016
A5100664729,2015,3.0742341479588235,2,2,1,2017,-2.0,0.0,0.0,Computer Science,2015
A5073217095,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5063992777,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5033389188,2016,1.002666784763057,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5112608251,2016,2.1774913285006483,7,7,1,2018,-2.0,0.0,0.0,Computer Science,2014
A5101657686,2016,2.3813485420844147,2,2,0,9999,,0.0,0.0,Computer Science,2016
A5000350952,2016,2.3813485420844147,2,2,0,9999,,0.0,0.0,Neuroscience,2016
A5100626273,2016,1.9307583440347111,1,1,0,9999,,0.0,0.0,Medicine,2014
A5023417820,2015,1.3195286648076292,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5072420270,2016,0.5520685823000397,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5027893749,2016,0.5520685823000397,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5052953923,2014,3.58351893845611,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5085050428,2016,1.550597412411167,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5016775802,2016,1.550597412411167,1,1,1,2017,-1.0,0.0,0.0,Computer Science,2016
A5033389056,2015,2.8903717578961645,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5101628460,2015,1.6094379124341003,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015
A5082520166,2016,0.42285685082003355,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5100337209,2015,2.4423470353692043,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015
A5101524563,2016,1.550597412411167,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5110293322,2016,3.8985999850960056,2,2,0,9999,,0.0,0.0,Engineering,2016
A5011132357,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Medicine,2016
A5051250767,2016,3.8985999850960056,1,1,1,2019,-3.0,0.0,0.0,Computer Science,2015
A5100739349,2014,2.8903717578961645,1,1,0,9999,,0.0,0.0,Computer Science,2014
A5109512832,2015,1.791759469228055,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2015
A5037841139,2015,1.791759469228055,1,1,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5102883508,2016,3.402360049980155,2,2,1,2018,-2.0,0.0,0.0,Computer Science,2016
A5003361977,2015,3.0326671978372186,2,2,0,9999,,0.0,0.0,"Biochemistry, Genetics and Molecular Biology",2015
A5032356827,2015,3.580427745886437,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2015
A5031533607,2015,3.580427745886437,1,1,0,9999,,0.0,0.0,Computer Science,2015
A5004271128,2015,3.580427745886437,1,1,1,2017,-2.0,0.0,0.0,Computer Science,2014
A5018095069,2016,0.7960932713663097,3,3,0,9999,,0.0,0.0,Computer Science,2016
A5022153785,2014,2.3978952727983707,1,1,0,9999,,0.0,0.0,Engineering,2014
A5085020955,2016,3.8985999850960056,2,2,1,2019,-3.0,0.0,0.0,Computer Science,2016
A5101798630,2016,0.6931471805599453,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5061465935,2016,0.039220713153281295,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5001243214,2016,0.039220713153281295,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5101540588,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5026211955,2016,0.6931471805599453,1,1,0,9999,,0.0,0.0,Medicine,2016
A5078494006,2016,0.6931471805599453,1,1,1,2019,-3.0,0.0,0.0,Medicine,2016
A5057644494,2016,0.6190392084062234,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5037751863,2015,3.8985999850960056,2,2,0,9999,,0.0,0.0,Computer Science,2015
A5086198262,2015,2.8102130612221954,10,10,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5112608251,2015,3.1621527609425706,5,5,1,2018,-3.0,0.0,0.0,Computer Science,2014
A5063636725,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5074301645,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
A5001033487,2016,3.8985999850960056,1,1,0,9999,,0.0,0.0,Computer Science,2016
