work_id,year,arxiv_type,status_std,has_any_openalex_metrics,has_openalex_references,usable_for_count_analysis,composition_metrics_eligible,usable_for_composition_analysis,openalex_matched_reference_count,log1p_openalex_matched_reference_count,openalex_topic_resolved_reference_count,openalex_topic_missing_reference_count,openalex_reference_field_diversity_raw,openalex_reference_entropy_raw,hss_share_among_matched_refs_raw,cs_share_among_matched_refs_raw,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs,flag_blank_status,flag_status_inferred,flag_not_enriched,flag_no_openalex_references,flag_ok_count_only,flag_ok_for_composition,flag_count_missing,flag_count_zero,flag_count_positive,flag_zero_but_raw_composition_not_missing,flag_positive_count_but_no_topic_resolved,flag_topic_resolved_gt_total,flag_topic_missing_gt_total
W3206796875,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,61.0,4.127134385045092,52.0,9.0,4.0,0.9811010590107292,0.0,0.519230769230769,4.0,0.9811010590107292,0.0,0.519230769230769,0,1,0,0,0,1,0,0,1,0,0,0,0
W3154002316,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,39.0,3.6888794541139363,33.0,6.0,3.0,0.270640793616797,0.03030303030303,0.9393939393939392,3.0,0.270640793616797,0.03030303030303,0.9393939393939392,0,1,0,0,0,1,0,0,1,0,0,0,0
W3187638065,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,16.0,2.833213344056216,14.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3171283301,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,61.0,4.127134385045092,48.0,13.0,5.0,0.472911441409076,0.020833333333333,0.895833333333333,5.0,0.472911441409076,0.020833333333333,0.895833333333333,0,1,0,0,0,1,0,0,1,0,0,0,0
W2928161238,2018,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,45.0,3.828641396489095,39.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3097786421,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,28.0,3.367295829986474,20.0,8.0,4.0,0.708346577706171,0.05,0.8,4.0,0.708346577706171,0.05,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0
W3115116211,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,17.0,2.8903717578961645,16.0,1.0,2.0,0.233791658706459,0.0625,0.9375,2.0,0.233791658706459,0.0625,0.9375,0,1,0,0,0,1,0,0,1,0,0,0,0
W3169698490,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,37.0,3.6375861597263857,32.0,5.0,4.0,0.699514490803616,0.1875,0.7812500000000001,4.0,0.699514490803616,0.1875,0.7812500000000001,0,1,0,0,0,1,0,0,1,0,0,0,0
W2786890571,2018,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,43.0,3.784189633918261,42.0,1.0,4.0,0.413513227075688,0.0,0.904761904761904,4.0,0.413513227075688,0.0,0.904761904761904,0,1,0,0,0,1,0,0,1,0,0,0,0
W3155987672,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,20.0,3.044522437723423,16.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W4287027247,2021,Type 2 (Science),OK_FOR_COMPOSITION,1,1.0,1,1,1,52.0,3.970291913552122,39.0,13.0,4.0,0.9077035413366572,0.025641025641025,0.307692307692307,4.0,0.9077035413366572,0.025641025641025,0.307692307692307,0,1,0,0,0,1,0,0,1,0,0,0,0
W2979434318,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,78.0,4.3694478524670215,62.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2891339902,2018,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,20.0,3.044522437723423,17.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3196708527,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,20.0,3.044522437723423,18.0,2.0,2.0,0.214559155176405,0.055555555555555,0.944444444444444,2.0,0.214559155176405,0.055555555555555,0.944444444444444,0,1,0,0,0,1,0,0,1,0,0,0,0
W2773530077,2017,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,20.0,3.044522437723423,18.0,2.0,2.0,0.214559155176405,0.0,0.944444444444444,2.0,0.214559155176405,0.0,0.944444444444444,0,1,0,0,0,1,0,0,1,0,0,0,0
W3215143946,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,43.0,3.784189633918261,41.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3088321414,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,36.0,3.6109179126442243,33.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2947354947,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,34.0,3.5553480614894135,28.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3148840566,2021,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,47.0,3.871201010907891,43.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2979358683,2019,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,26.0,3.295836866004329,26.0,0.0,7.0,1.313166781944527,0.038461538461538,0.269230769230769,7.0,1.313166781944527,0.038461538461538,0.269230769230769,0,1,0,0,0,1,0,0,1,0,0,0,0
W3134069800,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,28.0,3.367295829986474,25.0,3.0,2.0,0.5004024235381871,0.0,0.2,2.0,0.5004024235381871,0.0,0.2,0,1,0,0,0,1,0,0,1,0,0,0,0
W3087119365,2020,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,31.0,3.4657359027997265,27.0,4.0,2.0,0.15841057013179,0.0,0.962962962962962,2.0,0.15841057013179,0.0,0.962962962962962,0,1,0,0,0,1,0,0,1,0,0,0,0
W3047185145,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,62.0,4.143134726391533,57.0,5.0,12.0,1.654417456101844,0.333333333333333,0.5263157894736841,12.0,1.654417456101844,0.333333333333333,0.5263157894736841,0,1,0,0,0,1,0,0,1,0,0,0,0
W2965210982,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,30.0,3.4339872044851463,25.0,5.0,2.0,0.167944147734173,0.04,0.96,2.0,0.167944147734173,0.04,0.96,0,1,0,0,0,1,0,0,1,0,0,0,0
W3215620590,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,37.0,3.6375861597263857,32.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3089207345,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,38.0,3.6635616461296463,33.0,5.0,2.0,0.135793958751593,0.0,0.9696969696969692,2.0,0.135793958751593,0.0,0.9696969696969692,0,1,0,0,0,1,0,0,1,0,0,0,0
W3089685810,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,14.0,2.70805020110221,11.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3150987417,2021,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,35.0,3.58351893845611,25.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2901616036,2018,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,8.0,2.1972245773362196,7.0,1.0,2.0,0.598269588585257,0.285714285714285,0.7142857142857141,2.0,0.598269588585257,0.285714285714285,0.7142857142857141,0,1,0,0,0,1,0,0,1,0,0,0,0
W3209155946,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,47.0,3.871201010907891,38.0,9.0,3.0,0.326442040956665,0.052631578947368,0.9210526315789472,3.0,0.326442040956665,0.052631578947368,0.9210526315789472,0,1,0,0,0,1,0,0,1,0,0,0,0
