author_id,T0_year,paper_count
https://openalex.org/A5000578885,2017,1
https://openalex.org/A5000582908,2017,1
https://openalex.org/A5000584872,2017,2
https://openalex.org/A5000586895,2017,5
https://openalex.org/A5000588241,2017,2
https://openalex.org/A5000591965,2017,1
https://openalex.org/A5000592461,2017,6
https://openalex.org/A5000595338,2017,1
https://openalex.org/A5000597857,2017,3
https://openalex.org/A5000607183,2017,1
https://openalex.org/A5000608836,2017,1
https://openalex.org/A5000615109,2017,1
https://openalex.org/A5000618760,2017,5
https://openalex.org/A5000622067,2017,6
https://openalex.org/A5000623570,2017,4
https://openalex.org/A5000631266,2017,1
https://openalex.org/A5000634626,2017,2
https://openalex.org/A5000635815,2017,2
https://openalex.org/A5000640231,2017,5
https://openalex.org/A5000642508,2017,2
https://openalex.org/A5000643884,2017,1
https://openalex.org/A5000644127,2017,1
https://openalex.org/A5000646590,2017,8
https://openalex.org/A5000647898,2017,8
https://openalex.org/A5000648218,2017,1
https://openalex.org/A5000653339,2017,1
https://openalex.org/A5000655052,2017,1
https://openalex.org/A5000664704,2017,4
https://openalex.org/A5000666280,2017,1
https://openalex.org/A5000666931,2017,3
https://openalex.org/A5000677578,2017,1
https://openalex.org/A5000677611,2017,3
https://openalex.org/A5000679743,2017,1
https://openalex.org/A5000685573,2017,1
https://openalex.org/A5000704525,2017,3
https://openalex.org/A5000707725,2017,1
https://openalex.org/A5000711450,2017,1
https://openalex.org/A5000712777,2017,6
https://openalex.org/A5000718341,2017,1
https://openalex.org/A5000721127,2017,7
https://openalex.org/A5000725688,2017,6
https://openalex.org/A5000726513,2017,1
https://openalex.org/A5000727551,2017,1
https://openalex.org/A5000731301,2017,1
https://openalex.org/A5000732066,2017,5
https://openalex.org/A5000732219,2017,17
https://openalex.org/A5000735073,2017,7
https://openalex.org/A5000735239,2017,4
https://openalex.org/A5000738728,2017,1
https://openalex.org/A5000741843,2017,6
https://openalex.org/A5000744564,2017,1
https://openalex.org/A5000744992,2017,1
https://openalex.org/A5000749837,2017,2
https://openalex.org/A5000750466,2017,7
https://openalex.org/A5000751963,2017,1
https://openalex.org/A5000755750,2017,13
https://openalex.org/A5000758389,2017,1
https://openalex.org/A5000761768,2017,2
https://openalex.org/A5000761973,2017,7
https://openalex.org/A5000762185,2017,2
https://openalex.org/A5000763872,2017,2
https://openalex.org/A5000765970,2017,1
https://openalex.org/A5000770470,2017,6
https://openalex.org/A5000772002,2017,1
https://openalex.org/A5000775240,2017,1
https://openalex.org/A5000776112,2017,2
https://openalex.org/A5000783970,2017,1
https://openalex.org/A5000784795,2017,1
https://openalex.org/A5000787285,2017,2
https://openalex.org/A5000790744,2017,1
https://openalex.org/A5000791146,2017,2
https://openalex.org/A5000794664,2017,1
https://openalex.org/A5000794774,2017,1
https://openalex.org/A5000798681,2017,7
https://openalex.org/A5000800493,2017,1
https://openalex.org/A5000800849,2017,1
https://openalex.org/A5000805169,2017,1
https://openalex.org/A5000809576,2017,1
https://openalex.org/A5000812809,2017,1
